Date,Symbol,insider_supply_growth,insider_unlock_type,insider_owned_float_percentage,percentage_of_fully_diluted_insider_supply,insider_unlocked_usd_value
2024-04-15,STRK,64000000.0,first cliff unlock,8.165501257832952,1.6749542004710807,124160000.0
2024-05-03,MEME,1863000000.0,first cliff unlock,9.029793749512557,8.4375,55890000.0
2024-05-15,AEVO,388009200.0,first cliff unlock,40.86047190110192,93.49619277108434,1214468796.0
2024-05-15,STRK,64000000.0,massive cliff unlock,15.098161914618103,1.6749542004710807,124160000.0
2024-05-20,PYTH,462500000.0,massive cliff unlock,16.896551724137932,23.125,388500000.0
2024-05-31,SUI,837208775.0,first cliff unlock,35.7426302396574,41.382328575464804,1364650303.25
2024-06-22,ID,60000000.0,massive cliff unlock,17.562046457680566,6.0,56400000.0
2024-06-25,ALT,500180000.0,first cliff unlock,23.547485937443565,12.991688311688312,265095400.0
2024-07-09,XAI,175378571.0,first cliff unlock,35.047926171351634,17.198192792351065,191162642.39000002
2024-08-01,ZETA,44916667.0,first cliff unlock,13.308076983551848,5.555555596784168,84892500.63
2024-08-06,MAVIA,5174241.0,massive cliff unlock,20.77995429585435,5.174241,26388629.099999998
2024-10-30,TIA,175560000.0,first cliff unlock,39.66919739696312,33.0,2127787199.9999998
2024-12-07,JTO,135714286.0,first cliff unlock,45.50680604532069,33.33333341520468,534714286.84
2025-01-18,ONDO,1147561511.0,first cliff unlock,33.8602937038646,25.0,918049208.8000001
2026-01-18,ONDO,1147561511.0,massive cliff unlock,43.07080915718479,25.0,918049208.8000001
